SITE_ID,Agency Codes,MINISTRY,AGENCY,STYPE,NAME,VENDOR_ID,HOTSPOT_ID,ZipCode,county,AREA,ADDR,LATITUDE,LONGITUDE,E-MINISTRY,E_AGENCY,E_STYPE,E_NAME,E_CITY,E_AREA,E_ADDR
TPEE000199,379530800H,臺北市政府,臺北市政府公共運輸處,公車站,聯合醫院和平院區-S1-中華路二段,TAIFO,,108,臺北市,萬華區,108臺北市萬華區中華路二段1號對面候車亭,121.50643,25.03648,Taipei City Government,"Public Transportation Office, Taipei City Government",Bus Station,"Tcuh Heping Branch-Sec. 2, Zhonghua rd.",Taipei City,Wanhua District,"The bus station on the opposite side of No. 1, Sec. 2, Zhonghua Rd., Wanhua Dist., Taipei City 108 , Taiwan (R.O.C.)"
TPEE000201,379530800H,臺北市政府,臺北市政府公共運輸處,公車站,阿波羅大廈-E-忠孝東路四段,TAIFO,,106,臺北市,大安區,106臺北市大安區忠孝東路四段226號旁候車亭,121.5537399,25.0413374,Taipei City Government,"Public Transportation Office, Taipei City Government",Bus Station,"Apollo Building-E-Sec. 4, Zhongxiao E. Rd.",Taipei City,Da’an District,"The bus station front of No.242, Sec. 4, Zhongxiao E. Rd., Da’an Dist., Taipei City 106, Taiwan (R.O.C.)"
TPEE000202,379530800H,臺北市政府,臺北市政府公共運輸處,公車站,東吳大學(錢穆故居)-W1-至善路二段,TAIFO,,111,臺北市,士林區,111臺北市士林區至善路二段1之1號西側約200M候車亭,121.5413063,25.097464,Taipei City Government,"Public Transportation Office, Taipei City Government",Bus Station,"Soochow University(Chien Mu House)-W1-Sec. 2, Zhishan Rd",Taipei City,Shilin District,"The bus station about 200M west of No. 1-1, Sec. 2, Zhishan Rd., Shilin Dist., Taipei City 111 , Taiwan (R.O.C.)"
TPEE000203,379530800H,臺北市政府,臺北市政府公共運輸處,公車站,蘭雅新城-N-忠誠路一段,TAIFO,,111,臺北市,士林區,111臺北市士林區忠誠路一段159號旁候車亭,121.530151,25.107076,Taipei City Government,"Public Transportation Office, Taipei City Government",Bus Station,"Lanya New Village-N-Sec. 1, Zhongcheng Rd.",Taipei City,Shilin District,"The bus station near No. 159, Sec. 1, Zhongcheng Rd., Shilin Dist., Taipei City 111 , Taiwan (R.O.C.)"
TPEE000204,379530800H,臺北市政府,臺北市政府公共運輸處,公車站,士林區行政中心-E1-中正路,TAIFO,,111,臺北市,士林區,111臺北市士林區中正路439號前方候車亭,121.5195527,25.0928684,Taipei City Government,"Public Transportation Office, Taipei City Government",Bus Station,Shilin Admin. Center(Zhongzheng)-E1-Zhongzheng Rd.,Taipei City,Shilin District,"The bus station front of No.439, Zhongzheng Rd., Shilin Dist., Taipei City 111, Taiwan, R.O.C."
TPEE000205,379530800H,臺北市政府,臺北市政府公共運輸處,公車站,芝山國小-W-德行東路,TAIFO,,111,臺北市,士林區,111臺北市士林區德行東路285號候車亭,121.5372942,25.1103315,Taipei City Government,"Public Transportation Office, Taipei City Government",Bus Station,Zhishan Elementary School-W-Dexing E. Rd.,Taipei City,Shilin District,"The bus station No.285, Dexing E. Rd., Shilin Dist., Taipei City 111, Taiwan, R.O.C."
TPEE000206,379530800H,臺北市政府,臺北市政府公共運輸處,公車站,名山里-W-雨聲街,TAIFO,,111,臺北市,士林區,111臺北市士林區雨聲街44號候車亭,121.528961,25.102447,Taipei City Government,"Public Transportation Office, Taipei City Government",Bus Station,Mingshan Li-W-Yusheng St.,Taipei City,Shilin District,"The bus station on the No. 44, Yusheng St., Shilin Dist., Taipei City 111 , Taiwan (R.O.C.)"
TPEE000207,379530800H,臺北市政府,臺北市政府公共運輸處,公車站,百齡里-S-華齡街,TAIFO,,111,臺北市,士林區,111臺北市士林區福港街205號旁候車亭(華齡街本線上近前港街交叉口),121.5193442,25.0853784,Taipei City Government,"Public Transportation Office, Taipei City Government",Bus Station,Bailing Vil-S-Hualing St.,Taipei City,Shilin District,"The bus station(on Hualing St Main Line and near the intersection of Qiangang St)  next to No. 205, Fugang St., Shilin Dist., Taipei City 111 , Taiwan (R.O.C.)"
TPEE000209,379530800H,臺北市政府,臺北市政府公共運輸處,公車站,富洲里-S-延平北路九段,TAIFO,,111,臺北市,士林區,111臺北市士林區延平北路九段313號候車亭,121.46865,25.109081,Taipei City Government,"Public Transportation Office, Taipei City Government",Bus Station,"Fuzhou Li　-S-Sec. 9, Yanping N. Rd.",Taipei City,Shilin District,"The bus station No.313, Sec. 9, Yanping N. Rd., Shilin Dist., Taipei City 111, Taiwan, R.O.C."
TPEE000210,379530800H,臺北市政府,臺北市政府公共運輸處,公車站,普濟堂-S-延平北路七段,TAIFO,,111,臺北市,士林區,111臺北市士林區延平北路七段5號旁候車亭,121.49736,25.0941,Taipei City Government,"Public Transportation Office, Taipei City Government",Bus Station,"Puji Temple-S-Sec. 7, Yanping N. Rd.",Taipei City,Shilin District,"The bus station near No. 5, Sec. 7, Yanping N. Rd., Shilin Dist., Taipei City 111, Taiwan (R.O.C.)"
