SITE_ID(Taipei-Free熱點代碼),AGENCY(機關名稱),NAME(熱點名稱),VENDOR_ID(業者),AREA(行政區),Address(地址),LATITUDE(緯度),LONGITUDE(經度)
TPEE000390,臺北市政府公共運輸處,湖光國宅-E-文德路,TAIFO,內湖區,114臺北市內湖區文德路74號候車亭,121.5815701,25.0784298
TPEE000391,臺北市政府公共運輸處,康寧醫院-S-成功路五段,TAIFO,內湖區,114臺北市內湖區成功路五段404號對面候車亭,121.6071272,25.0759736
TPEE000392,臺北市政府公共運輸處,南京舊宗路口-W-南京東路六段,TAIFO,內湖區,114臺北市內湖區南京東路六段153號前候車亭,121.5795079,25.056352
TPEE000393,臺北市政府公共運輸處,西湖圖書館-E-內湖路一段,TAIFO,內湖區,114臺北市內湖區內湖路一段596號旁候車亭,121.5777104,25.0790298
TPEE000394,臺北市政府公共運輸處,大湖公園-W-成功路五段,TAIFO,內湖區,114臺北市內湖區成功路五段168號旁候車亭,121.6051702,25.083037
TPEE000395,臺北市政府公共運輸處,黃石公廟-E-成功路五段,TAIFO,內湖區,114臺北市內湖區成功路五段39號旁候車亭,121.6070246,25.0775258
TPEE000396,臺北市政府公共運輸處,大湖-W-成功路四段,TAIFO,內湖區,114臺北市內湖區成功路四段362號旁候車亭,121.6002051,25.084752
TPEE000397,臺北市政府公共運輸處,公館山-E-瑞光路,TAIFO,內湖區,114臺北市內湖區瑞光路104號候車亭,121.58107,25.07181
TPEE000398,臺北市政府公共運輸處,行忠路口-N-舊宗路一段,TAIFO,內湖區,114臺北市內湖區舊宗路一段319號候車亭,121.5763454,25.0643055
TPEE000400,臺北市政府公共運輸處,大湖公園-S-成功路五段,TAIFO,內湖區,114臺北市內湖區成功路五段168號對面候車亭,121.6048199,25.082828
TPEE000401,臺北市政府公共運輸處,民權隧道二-E-民權東路六段,TAIFO,內湖區,114臺北市內湖區民權東路六段246號前候車亭,121.6012445,25.0672858
TPEE000402,臺北市政府公共運輸處,金龍隧道口-S1-金龍路,TAIFO,內湖區,114臺北市內湖區金龍路157號對面候車亭,121.5889774,25.0863009
TPEE000403,臺北市政府公共運輸處,福華商場-W-民權東路六段,TAIFO,內湖區,114臺北市內湖區民權東路六段127號前候車亭,121.5932625,25.0690162
TPEE000404,臺北市政府公共運輸處,芳和國中-S-辛亥路三段,TAIFO,大安區,106臺北市大安區辛亥路三段157巷22號對面候車亭,121.550254,25.018146
TPEE000405,臺北市政府公共運輸處,康寧派出所-N-金湖路,TAIFO,內湖區,114臺北市內湖區金湖路95號對面候車亭,121.597938,25.081148
TPEE000406,臺北市政府公共運輸處,芳蘭路-S-基隆路三段,TAIFO,大安區,106臺北市大安區芳蘭路66號候車亭,121.5453744,25.0130175
TPEE000407,臺北市政府公共運輸處,麗寶大樓-W-瑞光路,TAIFO,內湖區,114臺北市內湖區瑞光路32號對面候車,121.582717,25.070528
TPEE000408,臺北市政府公共運輸處,臺北企業總部園區-W-新明路,TAIFO,內湖區,114臺北市內湖區新明路233號對面候車亭,121.5872452,25.0582437
TPEE000410,臺北市政府公共運輸處,干城一村-金湖路,TAIFO,內湖區,114臺北市內湖區金湖路175號旁候車亭,121.5990602,25.0795208
TPEE000411,臺北市政府公共運輸處,干城一村-金湖路,TAIFO,內湖區,114臺北市內湖區金湖路179號對面候車亭,121.5993448,25.0794305
TPEE000412,臺北市政府公共運輸處,中研院-N1-研究院路二段,TAIFO,南港區,115臺北市南港區研究院路二段77號旁候車亭,121.61665,25.04326
TPEE000413,臺北市政府公共運輸處,內湖行政大樓-民權東路六段,TAIFO,內湖區,114臺北市內湖區民權東路六段95號旁候車亭,121.5884218,25.0691624
TPEE000414,臺北市政府公共運輸處,內湖基湖路口-基湖路,TAIFO,內湖區,114臺北市內湖區基湖路8號旁候車亭,121.5653009,25.0819669
TPEE000415,臺北市政府公共運輸處,文湖國小-W1-內湖路一段,TAIFO,內湖區,114臺北市內湖區內湖路一段99號候車亭,121.561538,25.084381
TPEE000417,臺北市政府公共運輸處,行愛路77巷口-行愛路,TAIFO,內湖區,114臺北市內湖區行愛路68號前方候車亭,121.5811849,25.0624254
TPEE000418,臺北市政府公共運輸處,治磐新村-E1-內湖路一段,TAIFO,內湖區,114臺北市內湖區內湖路一段126號前方候車亭,121.5638491,25.0829784
TPEE000419,臺北市政府公共運輸處,青峰活動中心-S-辛亥路三段,TAIFO,大安區,106臺北市大安區辛亥路三段與辛亥路三段284巷口西北側候車亭,121.551345,25.015132
